Rentrée scolaire;Région académique;Académie;Département;Commune;Numéro de l'école;Dénomination principale;Patronyme;Secteur;REP;REP +;Nombre total de classes;Nombre total d'élèves;Nombre d'élèves en pré-élémentaire hors ULIS;Nombre d'élèves en élémentaire hors ULIS;Nombre d'élèves en ULIS;Nombre d'élèves en CP hors ULIS;Nombre d'élèves en CE1 hors ULIS;Nombre d'élèves en CE2 hors ULIS;Nombre d'élèves en CM1 hors ULIS;Nombre d'élèves en CM2 hors ULIS;tri;Code Postal
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LE CROUAIS;0351648B;ECOLE PRIMAIRE PUBLIQUE;ECOLE PUBLIQUE;PUBLIC;0;0;3;68;24;44;0;13;2;12;10;7;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LE CROUAIS-0351648B;35290
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LE LOROUX;0351080J;ECOLE PRIMAIRE PRIVEE;ST JOSEPH;PRIVE;0;0;3;61;20;41;0;9;8;8;11;5;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LE LOROUX-0351080J;35133
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LE MINIHIC-SUR-RANCE;0350351S;ECOLE PRIMAIRE PUBLIQUE;ECOLE PUBLIQUE;PUBLIC;0;0;5;111;39;72;0;13;12;16;18;13;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LE MINIHIC-SUR-RANCE-0350351S;35870
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LE PERTRE;0350396R;ECOLE PRIMAIRE PUBLIQUE;ECOLE INTERC. DES 2 PROVINCES;PUBLIC;0;0;4;83;27;56;0;14;9;9;14;10;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LE PERTRE-0350396R;35370
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LE PERTRE;0351458V;ECOLE PRIMAIRE PRIVEE;ST SEBASTIEN;PRIVE;0;0;5;125;42;83;0;14;14;18;18;19;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LE PERTRE-0351458V;35370
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LE PETIT-FOUGERAY;0352671N;ECOLE PRIMAIRE PUBLIQUE;YAK RIVAIS;PUBLIC;0;0;5;106;39;67;0;14;13;16;11;13;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LE PETIT-FOUGERAY-0352671N;35320
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LE RHEU;0350430C;ECOLE PRIMAIRE PUBLIQUE;MOIGNE;PUBLIC;0;0;3;74;25;49;0;11;11;13;5;9;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LE RHEU-0350430C;35650
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LE RHEU;0351778T;ECOLE MATERNELLE PUBLIQUE;LA GABILLAIS;PUBLIC;0;0;5;126;126;0;0;0;0;0;0;0;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LE RHEU-0351778T;35650
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LE RHEU;0352324L;ECOLE ELEMENTAIRE PUBLIQUE;LE CLOS JOURY;PUBLIC;0;0;10;232;0;232;0;45;48;48;43;48;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LE RHEU-0352324L;35650
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LE RHEU;0352329S;ECOLE ELEMENTAIRE PUBLIQUE;LA GABILLAIS;PUBLIC;0;0;8;200;0;200;0;44;34;35;45;42;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LE RHEU-0352329S;35650
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LE RHEU;0352487N;ECOLE PRIMAIRE PRIVEE;STE MARIE;PRIVE;0;0;10;266;119;147;0;29;33;22;35;28;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LE RHEU-0352487N;35650
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LE RHEU;0352749Y;ECOLE MATERNELLE PUBLIQUE;LE CLOS JOURY;PUBLIC;0;0;5;106;106;0;0;0;0;0;0;0;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LE RHEU-0352749Y;35650
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LE SEL-DE-BRETAGNE;0351428M;ECOLE PRIMAIRE PRIVEE;ST NICOLAS;PRIVE;0;0;3;64;21;43;0;7;9;13;10;4;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LE SEL-DE-BRETAGNE-0351428M;35320
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LE SEL-DE-BRETAGNE;0352101U;ECOLE PRIMAIRE PUBLIQUE;MATHURIN MEHEUT;PUBLIC;0;0;6;128;42;86;0;16;17;22;18;13;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LE SEL-DE-BRETAGNE-0352101U;35320
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LE THEIL-DE-BRETAGNE;0351442C;ECOLE PRIMAIRE PRIVEE;STE MARIE;PRIVE;0;0;4;90;22;68;0;21;7;15;25;0;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LE THEIL-DE-BRETAGNE-0351442C;35240
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LE THEIL-DE-BRETAGNE;0351616S;ECOLE PRIMAIRE PUBLIQUE;ECOLE PUBLIQUE;PUBLIC;0;0;5;98;38;60;0;10;13;11;12;14;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LE THEIL-DE-BRETAGNE-0351616S;35240
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LE TRONCHET;0350688H;ECOLE PRIMAIRE PUBLIQUE;ALBERT AUBRY;PUBLIC;1;0;3;56;24;32;0;0;0;0;14;18;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LE TRONCHET-0350688H;35540
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LE VERGER;0350671P;ECOLE PRIMAIRE PUBLIQUE;ECOLE DE LA VALLEE DU ROHUEL;PUBLIC;0;0;5;125;50;75;0;10;25;9;20;11;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LE VERGER-0350671P;35160
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LE VERGER;0351558D;ECOLE PRIMAIRE PRIVEE;STE BERNADETTE;PRIVE;0;0;3;76;32;44;0;6;12;14;6;6;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LE VERGER-0351558D;35160
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LE VIVIER-SUR-MER;0350687G;ECOLE PRIMAIRE PUBLIQUE;FRANCIS CHEVALIER;PUBLIC;1;0;7;103;34;69;0;11;19;12;14;13;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LE VIVIER-SUR-MER-0350687G;35960
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LECOUSSE;0351072A;ECOLE PRIMAIRE PRIVEE;NOTRE DAME;PRIVE;0;0;6;155;61;94;0;19;18;19;17;21;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LECOUSSE-0351072A;35133
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LECOUSSE;0352096N;ECOLE PRIMAIRE PUBLIQUE;MONTAUBERT;PUBLIC;0;0;10;254;106;148;0;33;25;24;33;33;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LECOUSSE-0352096N;35133
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LES BRULAIS;0351212C;ECOLE MATERNELLE PRIVEE;ECOLE PRIVEE;PRIVE;0;0;1;26;26;0;0;0;0;0;0;0;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LES BRULAIS-0351212C;35330
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LES PORTES DU COGLAIS;0350364F;ECOLE PRIMAIRE PUBLIQUE;VICTOR HUGO;PUBLIC;0;0;4;98;37;61;0;13;12;12;7;17;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LES PORTES DU COGLAIS-0350364F;35460
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LES PORTES DU COGLAIS;0351129M;ECOLE MATERNELLE PRIVEE;LE SACRE COEUR;PRIVE;0;0;2;37;37;0;0;0;0;0;0;0;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LES PORTES DU COGLAIS-0351129M;35460
