Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Commune;Coordonnee X;Coordonnee Y;EPSG;Latitude;Longitude;Qualité d'appariement;Localisation;Code nature;Nature;Code état établissement;Etat établissement;Code département;Code région;Code académie;Code commune;Département;Région;Académie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture
0352260S;Collège François Truffaut;COLLEGE;FRANCOIS TRUFFAUT;Public;Rue DE LA RABINE;;83138;35830;BETTON;Betton;354493.2;6796396.0;EPSG:2154;48.17632035698209;-1.6508804172478202;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35024;Ille-et-Vilaine;Bretagne;Rennes;48.17632035698209, -1.6508804172478202;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1990-09-01
0353067U;Collège privé HC 1, 2, Tree School;COLLEGE PRIVE HORS-CONTRAT;1, 2, TREE SCHOOL BREAL-SOUS-MONTFORT;Privé;;Centre Les Bruyères;;35310;BREAL SOUS MONTFORT;Bréal-sous-Montfort;337604.6;6779964.9;EPSG:2154;48.01958190322999;-1.8640483488683353;Mauvaise;Ville;340;COLLEGE;1;OUVERT;035;53;14;35037;Ille-et-Vilaine;Bretagne;Rennes;48.01958190322999, -1.8640483488683353;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;2022-06-07
0353083L;Collège privé Saint-Paul;COLLEGE PRIVE;SAINT-PAUL;Privé;22 avenue de la Mare-Duguesclin;;;35230;ST ERBLON;Saint-Erblon;352612.6;6779023.0;EPSG:2154;48.01926316797129;-1.6623443238792899;MANUEL;Numéro de rue;340;COLLEGE;3;A OUVRIR;035;53;14;35266;Ille-et-Vilaine;Bretagne;Rennes;48.01926316797129, -1.6623443238792899;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;2023-09-01
0350027P;Collège Les Gayeulles;COLLEGE;LES GAYEULLES;Public;140 boulevard DE VITRE;;80323;35703;RENNES CEDEX 7;Rennes;354229.1;6790740.5;EPSG:2154;48.12537928586194;-1.6499493581762867;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35238;Ille-et-Vilaine;Bretagne;Rennes;48.12537928586194, -1.6499493581762867;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0350033W;Collège Les Ormeaux;COLLEGE;LES ORMEAUX;Public;30 rue DES ORMEAUX;;60818;35008;RENNES CEDEX;Rennes;352579.2;6787862.4;EPSG:2154;48.098650278359116;-1.6697994008226291;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35238;Ille-et-Vilaine;Bretagne;Rennes;48.098650278359116, -1.6697994008226291;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0350039C;Collège Pierre de Dreux;COLLEGE;PIERRE DE DREUX;Public;28 rue du Stade;;30;35140;ST AUBIN DU CORMIER;Saint-Aubin-du-Cormier;373299.2;6804526.4;EPSG:2154;48.25905313802932;-1.4043693892032503;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35253;Ille-et-Vilaine;Bretagne;Rennes;48.25905313802932, -1.4043693892032503;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0350052S;Collège Pierre Perrin;COLLEGE;PIERRE PERRIN;Public;7 rue de la Libération;TREMBLAY;;35460;VAL COUESNON;Val-Couesnon;369200.2;6823095.5;EPSG:2154;48.42378333707708;-1.47368028376312;Correcte;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35004;Ille-et-Vilaine;Bretagne;Rennes;48.42378333707708, -1.47368028376312;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0350057X;Collège Jacques Prévert;COLLEGE;JACQUES PREVERT;Public;Rue RENE CUTTE;;3;35850;ROMILLE;Romillé;336697.4;6802236.8;EPSG:2154;48.219106849799665;-1.894700191160429;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35245;Ille-et-Vilaine;Bretagne;Rennes;48.219106849799665, -1.894700191160429;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0350781J;Collège privé Notre-Dame du Vieux Cours;COLLEGE PRIVE;NOTRE DAME DU VIEUX COURS;Privé;11 rue de Plélo;;;35000;RENNES;Rennes;351967.5;6788763.1;EPSG:2154;48.106415392837775;-1.6787187617227946;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35238;Ille-et-Vilaine;Bretagne;Rennes;48.106415392837775, -1.6787187617227946;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-12
0350839X;Collège privé Saint Hélier;COLLEGE PRIVE;SAINT-HELIER;Privé;7 rue FRERE SALOMON;;;35000;RENNES;Rennes;353304.8;6788329.9;EPSG:2154;48.10323527620077;-1.6604394705236643;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35238;Ille-et-Vilaine;Bretagne;Rennes;48.10323527620077, -1.6604394705236643;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-28
