code_region;libelle_region;code_academie;libelle_academie;code_departement;libelle_departement;code_postal;code_insee;libelle_commune;lieu_dit;Type_et_Libelle;No_de_voie_debut;Indice_de_repetition_debut;No_de_voie_fin;Indice_de_repetition_fin;Parite;Code_RNE;Secteur_unique
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35000;35238;Rennes;;ALLEE MONTBARROT;1;;9999;;PI;0351796M;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35000;35238;Rennes;;ALLEE MONTBARROT;1;;9999;;PI;0351638R;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35200;35238;Rennes;;ALLEE DE MORAVIE;1;;9999;;PI;0350963G;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35700;35238;Rennes;;ALLEE DE PENMARCH;1;;9999;;PI;0350913C;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35700;35238;Rennes;;ALLEE DE TREGASTEL;1;;9999;;PI;0350027P;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35200;35238;Rennes;;ALLEE DE VARSOVIE;1;;9999;;I;0350963G;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35200;35238;Rennes;;ALLEE DES ASTURIES;1;;9999;;PI;0351851X;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35000;35238;Rennes;;ALLEE DES CEVENNES;1;;9999;;PI;0350895H;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35700;35238;Rennes;;ALLEE DU DOCTEUR ROGER MARUELLE;1;;9999;;PI;0350913C;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35000;35238;Rennes;;ALLEE DU DOCTEUR ROGER NOUAILLE;1;;9999;;PI;0351796M;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35000;35238;Rennes;;ALLEE DU DOCTEUR ROGER NOUAILLE;1;;9999;;PI;0351638R;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35000;35238;Rennes;;ALLEE DU BOIS D IBARRE;1;;9999;;I;0351796M;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35000;35238;Rennes;;ALLEE DU BOIS D IBARRE;1;;9999;;I;0350895H;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35200;35238;Rennes;;ALLEE DU DANUBE;1;;9999;;I;0350963G;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35700;35238;Rennes;;ALLEE DU MONT DOL;1;;9999;;PI;0350027P;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35000;35238;Rennes;;ALLEE DU PATIS GAIGNOUX;1;;9999;;PI;0351796M;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35000;35238;Rennes;;ALLEE DU PATIS GAIGNOUX;1;;9999;;PI;0351638R;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35000;35238;Rennes;;ALLEE EDITH PIAF;1;;9999;;PI;0350965J;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35000;35238;Rennes;;ALLEE EMILE MARIE BESNARD;1;;9999;;PI;0350895H;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35000;35238;Rennes;;ALLEE HENRI GARDAREIN FREYTET;2;;9999;;P;0350965J;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35000;35238;Rennes;;ALLEE JACQUES MARIE GLEZEN;1;;9999;;PI;0351638R;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35000;35238;Rennes;;ALLEE JEAN LANGLAIS;2;;9999;;P;0350895H;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35000;35238;Rennes;;ALLEE JEAN LANGLAIS;2;;9999;;P;0351638R;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35700;35238;Rennes;;ALLEE LA BRUYERE;1;;9999;;PI;0350027P;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35000;35238;Rennes;;ALLEE MARBODE;1;;9999;;I;0350759K;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35000;35238;Rennes;;ALLEE MARC ELDER;1;;9999;;PI;0351638R;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35700;35238;Rennes;;ALLEE MERE TERESA;1;;9999;;PI;0350913C;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35700;35238;Rennes;;ALLEE RENE BAZIN;1;;9999;;PI;0350913C;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35000;35238;Rennes;;ALLEE RICHARD WAGNER;1;;9999;;PI;0350760L;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35700;35238;Rennes;;ALLEE RIMBAUD;1;;9999;;PI;0351796M;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35700;35238;Rennes;;ALLEE SAINTE SOPHIE;1;;9999;;PI;0350895H;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35000;35238;Rennes;;ALLEE SYLVESTRE DE LA GUERCHE;2;;9999;;P;0350759K;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35000;35238;Rennes;;ALLEE VINCENT D INDY;1;;9999;;PI;0351796M;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35000;35238;Rennes;;AVENUE ARISTIDE BRIAND;1;;9999;;PI;0351796M;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35000;35238;Rennes;;AVENUE CHARLES TILLON;1;;9999;;PI;0350895H;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35700;35238;Rennes;;AVENUE DE ROCHESTER;65;;9999;;PI;0350027P;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35700;35238;Rennes;;AVENUE DES BUTTES DE COESMES;1;;9999;;PI;0350027P;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35700;35238;Rennes;;AVENUE DES GAYEULLES;1;;9999;;PI;0350027P;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35700;35238;Rennes;;AVENUE DOYEN ROGER HOUIN;2;;9999;;P;0350895H;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35700;35238;Rennes;;AVENUE DOYEN ROGER HOUIN;2;;9999;;P;0351638R;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35000;35238;Rennes;;AVENUE DU 41E REGIMENT D INFANTER;1;;9999;;PI;0350759K;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35000;35238;Rennes;;AVENUE DU DOYEN COLAS;1;;9999;;PI;0351796M;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35000;35238;Rennes;;AVENUE GASTON BERGER;1;;9999;;PI;0351796M;N
