Annee_scolaire;Academie;Numero_d_etablissement;nom_etablissement;Type_d_etablissement;Secteur_d_enseignement;Nombre_d_eleves;libelle_region;libelle_departement;Code_departement;adresse;code_postal;localite_acheminement;Code_region
2018-2019;RENNES;0350759K;COLLEGE ECHANGE;COLLEGE;Public;458;BRETAGNE;ILLE-ET-VILAINE;035;30 rue DE DINAN;35102;RENNES CEDEX 3;53
2018-2019;RENNES;0350773A;COLLEGE PRIVE CHOISY;COLLEGE;Privé;545;BRETAGNE;ILLE-ET-VILAINE;035;3 avenue DE LA BORDERIE;35401;ST MALO CEDEX;53
2018-2019;RENNES;0350775C;COLLEGE PRIVE LE CLEU ST JOSEPH;COLLEGE;Privé;695;BRETAGNE;ILLE-ET-VILAINE;035;22 rue ST MICHEL;35603;REDON CEDEX;53
2018-2019;RENNES;0350781J;COLLEGE PRIVE NOTRE DAME DU VIEUX COURS;COLLEGE;Privé;443;BRETAGNE;ILLE-ET-VILAINE;035;19 boulevard de la Liberté;35000;RENNES;53
2018-2019;RENNES;0350801F;LYCEE GENERAL PRIVE JEAN PAUL II;LYCEE D ENSEIGNEMENT GENERAL;Privé;671;BRETAGNE;ILLE-ET-VILAINE;035;2 rue Antoine de Saint-Exupéry;35762;ST GREGOIRE CEDEX;53
2018-2019;RENNES;0350857S;COLLEGE PRIVE ST GILDUIN;COLLEGE;Privé;406;BRETAGNE;ILLE-ET-VILAINE;035;1 SQUARE EMILE BOHUON;35270;COMBOURG;53
2018-2019;RENNES;0350864Z;COLLEGE PRIVE ST JOSEPH;COLLEGE;Privé;281;BRETAGNE;ILLE-ET-VILAINE;035;19  RUE DES DAMES;35580;GUIGNEN;53
2018-2019;RENNES;0350868D;COLLEGE PRIVE ST JOSEPH;COLLEGE;Privé;233;BRETAGNE;ILLE-ET-VILAINE;035;24 rue COURBE;35640;MARTIGNE FERCHAUD;53
2018-2019;RENNES;0350870F;COLLEGE PRIVE LA PROVIDENCE;COLLEGE;Privé;291;BRETAGNE;ILLE-ET-VILAINE;035;21 rue DE RENNES;35360;MONTAUBAN DE BRETAGNE;53
2018-2019;RENNES;0350878P;COLLEGE PRIVE DE L'HERMINE;COLLEGE;Privé;297;BRETAGNE;ILLE-ET-VILAINE;035;22 rue DE L'HERMINE;35380;PLELAN LE GRAND;53
2018-2019;RENNES;0350892E;COLLEGE PRIVE STE JEANNE D'ARC;COLLEGE;Privé;427;BRETAGNE;ILLE-ET-VILAINE;035;13 place de la République;35503;VITRE CEDEX;53
2018-2019;RENNES;0351054F;LYCEE PROFESSIONNEL CHARLES TILLON;LYCEE PROFESSIONNEL;Public;506;BRETAGNE;ILLE-ET-VILAINE;035;9 allée GEORGES PALANTE;35009;RENNES CEDEX;53
2018-2019;RENNES;0351795L;COLLEGE LE BOCAGE;COLLEGE;Public;617;BRETAGNE;ILLE-ET-VILAINE;035;27 rue GOUYON MATIGNON;35802;DINARD CEDEX;53
2018-2019;RENNES;0351907H;LYCEE GENERAL ET TECHNOLOGIQUE RENE DESCARTES;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;Public;1287;BRETAGNE;ILLE-ET-VILAINE;035;Chemin DE RONDE;35207;RENNES CEDEX 2;53
2018-2019;RENNES;0351909K;COLLEGE GERARD DE NERVAL;COLLEGE;Public;739;BRETAGNE;ILLE-ET-VILAINE;035;35 rue du Collège;35506;VITRE CEDEX;53
2018-2019;RENNES;0352071L;COLLEGE PRIVE STE THERESE;COLLEGE;Privé;159;BRETAGNE;ILLE-ET-VILAINE;035;27 rue SULLY PRUDHOMME;35067;RENNES CEDEX;53
2018-2019;RENNES;0352341E;LYCEE GENERAL ET TECHNOLOGIQUE ST JOSEPH;LYCEE D ENSEIGNEMENT GENERAL;Privé;624;BRETAGNE;ILLE-ET-VILAINE;035;3 avenue ALPHONSE LEGAULT;35171;BRUZ CEDEX;53
2018-2019;RENNES;0352446U;LYCEE PROF PRIVE DES METIERS STE THERESE;LYCEE PROFESSIONNEL;Privé;195;BRETAGNE;ILLE-ET-VILAINE;035;1 rue DU 8 MAI;35130;LA GUERCHE DE BRETAGNE;53
2018-2019;RENNES;0352541X;COLLEGE THEODORE MONOD;COLLEGE;Public;474;BRETAGNE;ILLE-ET-VILAINE;035;Chemin DE SEICHE;35771;VERN SUR SEICHE CEDEX;53
2019-2020;RENNES;0350027P;COLLEGE LES GAYEULLES;COLLEGE;Public;619;BRETAGNE;ILLE-ET-VILAINE;035;140 boulevard DE VITRE;35703;RENNES CEDEX 7;53
2019-2020;RENNES;0350029S;LYCEE GENERAL ET TECHNOLOGIQUE JOLIOT-CURIE;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;Public;1477;BRETAGNE;ILLE-ET-VILAINE;035;144 boulevard DE VITRE;35703;RENNES CEDEX 7;53
2019-2020;RENNES;0350030T;LPO LYCEE DES METIERS PIERRE MENDES FRANCE;LYCEE POLYVALENT;Public;1083;BRETAGNE;ILLE-ET-VILAINE;035;34 rue BAHON RAULT;35069;RENNES CEDEX;53
2019-2020;RENNES;0350050P;LP LYCEE DES METIERS BEL AIR;LYCEE PROFESSIONNEL;Public;313;BRETAGNE;ILLE-ET-VILAINE;035;7 rue ERNEST RENAN;35190;TINTENIAC;53
2019-2020;RENNES;0350062C;LYCEE PROFESSIONNEL MAUPERTUIS;LYCEE PROFESSIONNEL;Public;228;BRETAGNE;ILLE-ET-VILAINE;035;Rue Pierre de Coubertin;35407;ST MALO CEDEX;53
2019-2020;RENNES;0350769W;LYC POLYVAL PRIVE DES METIERS JEAN-BAPTISTE LE TAILLANDIER;LYCEE POLYVALENT;Privé;1218;BRETAGNE;ILLE-ET-VILAINE;035;9 bis rue EUGENE PACORY;35304;FOUGERES CEDEX;53
2019-2020;RENNES;0350785N;COLLEGE PRIVE MOKA STE FAMILLE;COLLEGE;Privé;409;BRETAGNE;ILLE-ET-VILAINE;035;4 avenue Aristide Briand;35401;ST MALO CEDEX;53
2019-2020;RENNES;0350839X;COLLEGE PRIVE SAINT-HELIER;COLLEGE;Privé;546;BRETAGNE;ILLE-ET-VILAINE;035;7 rue FRERE SALOMON;35000;RENNES;53
2019-2020;RENNES;0350857S;COLLEGE PRIVE ST GILDUIN;COLLEGE;Privé;419;BRETAGNE;ILLE-ET-VILAINE;035;1 SQUARE EMILE BOHUON;35270;COMBOURG;53
2019-2020;RENNES;0350859U;COLLEGE PRIVE STE MARIE;COLLEGE;Privé;449;BRETAGNE;ILLE-ET-VILAINE;035;18 RUE ST J-B DE LA SALLE;35801;DINARD CEDEX;53
2019-2020;RENNES;0350864Z;COLLEGE PRIVE ST JOSEPH;COLLEGE;Privé;325;BRETAGNE;ILLE-ET-VILAINE;035;19  RUE DES DAMES;35580;GUIGNEN;53
2019-2020;RENNES;0350866B;COLLEGE PRIVE ST JOSEPH;COLLEGE;Privé;679;BRETAGNE;ILLE-ET-VILAINE;035;45 RUE PAUL PAINLEVE;35150;JANZE;53
2019-2020;RENNES;0350867C;COLLEGE PRIVE ST MICHEL;COLLEGE;Privé;621;BRETAGNE;ILLE-ET-VILAINE;035;15 rue des Ecoles;35340;LIFFRE;53
2019-2020;RENNES;0350872H;COLLEGE PRIVE ST LOUIS-MARIE;COLLEGE;Privé;685;BRETAGNE;ILLE-ET-VILAINE;035;11 boulevard Carnot;35162;MONTFORT SUR MEU CEDEX;53
2019-2020;RENNES;0350874K;COLLEGE PRIVE ST YVES;COLLEGE;Privé;720;BRETAGNE;ILLE-ET-VILAINE;035;3 rue Jeanne d'Arc;35310;MORDELLES;53
2019-2020;RENNES;0350891D;COLLEGE PRIVE ST JOSEPH - LA SALLE;COLLEGE;Privé;760;BRETAGNE;ILLE-ET-VILAINE;035;2 rue ST JEAN BAPTISTE DE LA SAL;35190;TINTENIAC;53
2019-2020;RENNES;0350913C;COLLEGE CLOTILDE VAUTIER;COLLEGE;Public;426;BRETAGNE;ILLE-ET-VILAINE;035;8 bis rue DE LA MOTTE BRULON;35704;RENNES CEDEX 7;53
2019-2020;RENNES;0350916F;COLLEGE DUGUAY-TROUIN;COLLEGE;Public;640;BRETAGNE;ILLE-ET-VILAINE;035;5 rue HENRI LEMARIE;35400;ST MALO;53
2019-2020;RENNES;0350967L;COLLEGE MAHATMA GANDHI;COLLEGE;Public;417;BRETAGNE;ILLE-ET-VILAINE;035;17 rue DE ST LO;35300;FOUGERES;53
2019-2020;RENNES;0350969N;COLLEGE BELLEVUE;COLLEGE;Public;506;BRETAGNE;ILLE-ET-VILAINE;035;2 rue DE BELLEVUE;35602;REDON CEDEX;53
2019-2020;RENNES;0351054F;LYCEE PROFESSIONNEL CHARLES TILLON;LYCEE PROFESSIONNEL;Public;510;BRETAGNE;ILLE-ET-VILAINE;035;9 allée GEORGES PALANTE;35009;RENNES CEDEX;53
2019-2020;RENNES;0351122O;;LYCEE D ENSEIGNEMENT GENERAL;Privé;115;BRETAGNE;ILLE-ET-VILAINE;035;;-;-;53
2019-2020;RENNES;0351799R;COLLEGE DES FONTAINES;COLLEGE;Public;289;BRETAGNE;ILLE-ET-VILAINE;035;8 rue DU 14 JUILLET;35130;LA GUERCHE DE BRETAGNE;53
2019-2020;RENNES;0351851X;COLLEGE LA BINQUENAIS;COLLEGE;Public;493;BRETAGNE;ILLE-ET-VILAINE;035;40 boulevard OSCAR LEROUX;35203;RENNES CEDEX 2;53
2019-2020;RENNES;0351878B;LYCEE PROFESSIONNEL COETLOGON;LYCEE PROFESSIONNEL;Public;1067;BRETAGNE;ILLE-ET-VILAINE;035;53 rue ANTOINE JOLY;35083;RENNES CEDEX;53
2019-2020;RENNES;0352009U;LYCEE GENERAL ET TECHNOLOGIQUE VICTOR ET HELENE BASCH;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;Public;1399;BRETAGNE;ILLE-ET-VILAINE;035;15 avenue Raymonde et Charles Ti;35083;RENNES CEDEX;53
2019-2020;RENNES;0352069J;COLLEGE PRIVE ST VINCENT-PROVIDENCE;COLLEGE;Privé;851;BRETAGNE;ILLE-ET-VILAINE;035;57 rue de Paris;35064;RENNES CEDEX;53
2019-2020;RENNES;0352267Z;ECOLE PRIVEE COIF ESTHETIQUE L'ACADEMY;LYCEE PROFESSIONNEL;Privé;64;BRETAGNE;ILLE-ET-VILAINE;035;24  BOULEVARD SOLFERINO;35000;RENNES;53
2019-2020;RENNES;0352446U;LYCEE PROF PRIVE DES METIERS STE THERESE;LYCEE PROFESSIONNEL;Privé;205;BRETAGNE;ILLE-ET-VILAINE;035;1 rue DU 8 MAI;35130;LA GUERCHE DE BRETAGNE;53
2019-2020;RENNES;0352541X;COLLEGE THEODORE MONOD;COLLEGE;Public;534;BRETAGNE;ILLE-ET-VILAINE;035;Chemin DE SEICHE;35771;VERN SUR SEICHE CEDEX;53
2019-2020;RENNES;0352691K;COLLEGE ANDREE RECIPON;COLLEGE;Public;695;BRETAGNE;ILLE-ET-VILAINE;035;6 rue DE PONT-PEAN;35230;ORGERES;53
2019-2020;RENNES;0352804H;ECOLE TECHNIQUE PRIVEE SILVYA TERRADE;LYCEE PROFESSIONNEL;Privé;52;BRETAGNE;ILLE-ET-VILAINE;035;19 rue DES FEUTERIES;35300;FOUGERES;53
2019-2020;RENNES;0352860U;COLLEGE SIMONE VEIL;COLLEGE;Public;638;BRETAGNE;ILLE-ET-VILAINE;035;2 rue BERNARD PICOULT;35320;CREVIN;53
2019-2020;RENNES;0352921K;ECOLE SECONDAIRE PRIVEE NOÈSIS;COLLEGE;Privé;5;BRETAGNE;ILLE-ET-VILAINE;035;;35580;GUIGNEN;53
2017-2018;RENNES;0350005R;LYCEE POLYVALENT YVON BOURGES;LYCEE POLYVALENT;Public;698;BRETAGNE;ILLE-ET-VILAINE;035;33 rue DES ECOLES;35803;DINARD CEDEX;53
2017-2018;RENNES;0350011X;LYCEE GENERAL ET TECHNOLOGIQUE JEAN GUEHENNO;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;Public;1219;BRETAGNE;ILLE-ET-VILAINE;035;11  RUE DU CHAMP ROSSIGNOL;35305;FOUGERES CEDEX;53
2017-2018;RENNES;0350033W;COLLEGE LES ORMEAUX;COLLEGE;Public;517;BRETAGNE;ILLE-ET-VILAINE;035;30 rue DES ORMEAUX;35008;RENNES CEDEX;53
2017-2018;RENNES;0350053T;LYCEE GENERAL ET TECHNOLOGIQUE BERTRAND D'ARGENTRE;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;Public;1353;BRETAGNE;ILLE-ET-VILAINE;035;15 rue DU COLLEGE;35506;VITRE CEDEX;53
2017-2018;RENNES;0350760L;COLLEGE CLEUNAY;COLLEGE;Public;401;BRETAGNE;ILLE-ET-VILAINE;035;26 rue ANDREE RECIPON;35000;RENNES;53
2017-2018;RENNES;0350761M;LYCEE PROFESSIONNEL JEAN GUEHENNO;LYCEE PROFESSIONNEL;Public;245;BRETAGNE;ILLE-ET-VILAINE;035;3 PROMENADE DU GUE MAHEU;35305;FOUGERES CEDEX;53
2017-2018;RENNES;0350793X;LYCEE POLYVALENT PRIVE FREDERIC OZANAM;LYCEE POLYVALENT;Privé;1224;BRETAGNE;ILLE-ET-VILAINE;035;99 rue DE LA CHALOTAIS;35577;CESSON SEVIGNE CEDEX;53
2017-2018;RENNES;0350839X;COLLEGE PRIVE SAINT-HELIER;COLLEGE;Privé;524;BRETAGNE;ILLE-ET-VILAINE;035;7 rue FRERE SALOMON;35000;RENNES;53
2017-2018;RENNES;0350849H;COLLEGE PRIVE LA SALLE ST JOSEPH;COLLEGE;Privé;626;BRETAGNE;ILLE-ET-VILAINE;035;54 rue ALAIN D'ARGENTRE;35370;ARGENTRE DU PLESSIS;53
2017-2018;RENNES;0350853M;COLLEGE PRIVE ST JOSEPH;COLLEGE;Privé;290;BRETAGNE;ILLE-ET-VILAINE;035;4 RUE DU HOCK;35260;CANCALE;53
2017-2018;RENNES;0350864Z;COLLEGE PRIVE ST JOSEPH;COLLEGE;Privé;244;BRETAGNE;ILLE-ET-VILAINE;035;19  RUE DES DAMES;35580;GUIGNEN;53
2017-2018;RENNES;0350869E;COLLEGE PRIVE STE MARIE;COLLEGE;Privé;138;BRETAGNE;ILLE-ET-VILAINE;035;44 rue DE GUER;35330;MAURE DE BRETAGNE;53
2017-2018;RENNES;0350878P;COLLEGE PRIVE DE L'HERMINE;COLLEGE;Privé;311;BRETAGNE;ILLE-ET-VILAINE;035;22 rue DE L'HERMINE;35380;PLELAN LE GRAND;53
2017-2018;RENNES;0350883V;COLLEGE PRIVE JEANNE D'ARC;COLLEGE;Privé;407;BRETAGNE;ILLE-ET-VILAINE;035;26 rue DE FOUGERES;35460;MAEN ROCH;53
