Rentrée scolaire;Région académique;Académie;Département;Commune;Numéro du collège;Dénomination principale;Patronyme;Secteur;REP;REP +;Nombre d'élèves total (nombre d'élèves dans les formations du 1er cycle du 2nd degré et non du nombre total d'élèves inscrits dans l'établissement, les DIMA et les dispositifs-relais sont exclus);Nombre d'élèves total hors Segpa hors ULIS;Nombre d'élèves total Segpa;Nombre d'élèves total ULIS;Nombre total de 6èmes;Nombre de 6èmes hors Segpa hors ULIS;Nombre de 6èmes Segpa;Nombre de 6èmes ULIS;Nombre de 6èmes filles;Nombre de 6èmes garçons;Nombre de 6èmes LV1 allemand;Nombre de 6èmes LV1 anglais;Nombre de 6èmes LV1 espagnol;Nombre de 6èmes LV1 autres langues;Nombre de 6èmes LV2 allemand;Nombre de 6èmes LV2 anglais;Nombre de 6èmes LV2 espagnol;Nombre de 6èmes LV2 italien;Nombre de 6èmes LV2 autres langues;Nombre total de 5èmes;Nombre de 5èmes hors Segpa hors ULIS;Nombre de 5èmes Segpa;Nombre de 5èmes ULIS;Nombre de 5èmes filles;Nombre de 5èmes garçons;Nombre de 5èmes LV1 allemand;Nombre de 5èmes LV1 anglais;Nombre de 5èmes LV1 espagnol;Nombre de 5èmes LV1 autres langues;Nombre de 5èmes LV2 allemand;Nombre de 5èmes LV2 anglais;Nombre de 5èmes LV2 espagnol;Nombre de 5èmes LV2 italien;Nombre de 5èmes LV2 autres langues;Nombre total de 4èmes;Nombre de 4èmes hors Segpa hors ULIS;Nombre de 4èmes Segpa;Nombre de 4èmes ULIS;Nombre de 4èmes filles;Nombre de 4èmes garçons;Nombre de 4èmes LV1 allemand;Nombre de 4èmes LV1 anglais;Nombre de 4èmes LV1 espagnol;Nombre de 4èmes LV1 autres langues;Nombre de 4èmes LV2 allemand;Nombre de 4èmes LV2 anglais;Nombre de 4èmes LV2 espagnol;Nombre de 4èmes LV2 italien;Nombre de 4èmes LV2 autres langues;Nombre total de 3èmes;Nombre de 3èmes hors Segpa hors ULIS;Nombre de 3èmes Segpa;Nombre de 3èmes ULIS;Nombre de 3èmes filles;Nombre de 3èmes garçons;Nombre de 3èmes LV1 allemand;Nombre de 3èmes LV1 anglais;Nombre de 3èmes LV1 espagnol;Nombre de 3èmes LV1 autres langues;Nombre de 3èmes LV2 allemand;Nombre de 3èmes LV2 anglais;Nombre de 3èmes LV2 espagnol;Nombre de 3èmes LV2 italien;Nombre de 3èmes LV2 autres langues
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;RETIERS;0351882F;COLLEGE;LA ROCHE AUX FEES;PUBLIC;0;0;477;477;0;0;100;100;0;0;55;45;0;100;0;0;25;0;0;0;0;115;115;0;0;55;60;0;115;0;0;14;0;101;0;0;118;118;0;0;57;61;0;118;0;0;21;0;97;0;0;144;144;0;0;77;67;0;144;0;0;10;0;134;0;0
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;SAINT-AUBIN-D'AUBIGNE;0350881T;COLLEGE PRIVE;ST MICHEL;PRIVE;0;0;493;493;0;0;141;141;0;0;65;76;0;141;0;0;0;0;0;0;0;137;137;0;0;56;81;0;137;0;0;21;0;116;0;0;115;115;0;0;54;61;0;115;0;0;21;0;94;0;0;100;100;0;0;40;60;0;100;0;0;13;0;87;0;0
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;SAINT-GEORGES-DE-REINTEMBAULT;0350041E;COLLEGE;DE ROQUEBLEUE;PUBLIC;0;0;148;148;0;0;42;42;0;0;23;19;0;42;0;0;0;0;0;0;0;26;26;0;0;14;12;0;26;0;0;4;0;22;0;0;35;35;0;0;22;13;0;35;0;0;4;0;31;0;0;45;45;0;0;25;20;0;45;0;0;7;0;38;0;0
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;SAINT-MALO;0350044H;COLLEGE;CHATEAUBRIAND;PUBLIC;0;0;323;311;0;12;76;75;0;1;31;45;3;72;0;0;0;0;0;0;0;85;80;0;5;37;48;0;80;0;0;7;0;73;0;0;89;88;0;1;35;54;0;88;0;0;8;0;80;0;0;73;68;0;5;32;41;0;68;0;0;2;0;56;10;0
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;SAINT-MALO;0350773A;COLLEGE PRIVE;CHOISY;PRIVE;0;0;557;547;0;10;147;144;0;3;70;77;0;147;0;0;0;0;0;0;0;128;124;0;4;66;62;0;128;0;0;6;0;101;18;0;142;141;0;1;68;74;0;142;0;0;22;0;112;8;0;140;138;0;2;71;69;0;140;0;0;23;0;105;10;0
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;SAINT-MALO;0350896J;COLLEGE;JEAN CHARCOT;PUBLIC;0;0;363;352;0;11;91;90;0;1;50;41;9;81;0;0;0;0;0;0;0;85;81;0;4;45;40;0;84;0;0;11;0;63;0;7;91;88;0;3;43;48;0;91;0;9;10;0;67;0;9;96;93;0;3;58;38;0;92;0;0;15;0;71;0;0
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;SAINT-MALO;0350916F;COLLEGE;DUGUAY-TROUIN;PUBLIC;0;0;640;506;123;11;155;123;29;3;76;79;0;123;0;0;0;0;0;0;0;139;109;27;3;65;74;0;108;0;0;11;0;86;11;0;177;139;34;4;94;83;0;138;0;0;10;0;97;31;0;169;135;33;1;88;81;0;130;0;0;15;0;105;10;0
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;TINTENIAC;0350051R;COLLEGE;THEOPHILE BRIANT;PUBLIC;0;0;666;654;0;12;199;194;0;5;97;102;0;197;0;0;18;0;0;0;0;163;162;0;1;73;90;0;163;0;0;13;0;150;0;0;161;156;0;5;90;71;0;161;0;0;13;0;143;0;0;143;142;0;1;71;72;0;142;1;0;17;0;125;0;0
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;VITRE;0350709F;LP LYCEE DES METIERS;LA CHAMPAGNE;PUBLIC;0;0;25;25;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;25;0;0;8;17;0;24;0;0;0;0;24;0;0
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;VITRE;0350808N;LYC POLYVAL PRIVE DES METIERS;STE JEANNE D'ARC;PRIVE;0;0;23;23;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;23;0;0;6;17;0;23;0;0;1;0;22;0;0
